Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1691.90780173913
FDW14,OUT017,1412.1562050420164
NCN55,OUT010,584.7577647727273
FDQ58,OUT017,2222.6712822580644
FDY38,OUT027,6280.890879999997
FDH56,OUT046,1922.1493817142846
FDL48,OUT018,713.858654545455
FDC48,OUT027,2517.882088484849
FDN33,OUT045,1559.342975268817
FDA36,OUT017,2827.3566888888877
FDT44,OUT017,1922.1493817142846
FDQ56,OUT045,1412.1562050420164
NCC54,OUT019,584.7577647727273
FDU11,OUT049,2089.971043283581
DRL59,OUT013,713.858654545455
FDM24,OUT049,2490.526886705202
FDI57,OUT045,2919.037191489362
DRC12,OUT018,2919.037191489362
NCM42,OUT027,3242.062071532848
FDA46,OUT010,482.6995426229507
FDA31,OUT013,2851.6316958762886
NCJ31,OUT035,3719.064328378379
FDG52,OUT046,798.2176035398227
NCL19,OUT019,281.48208181818177
FDS10,OUT035,2919.037191489362
FDX22,OUT010,584.7577647727273
NCF19,OUT035,798.2176035398227
NCE06,OUT046,2222.6712822580644
DRC27,OUT046,3881.917128455283
FDE21,OUT035,1922.1493817142846
NCR42,OUT019,92.67548155339806
FDX51,OUT018,2911.411439639641
NCR06,OUT018,507.04640366972484
FDU31,OUT027,5329.314724444444
FDU59,OUT017,2611.4595423423425
FDR03,OUT027,5329.314724444444
FDS49,OUT027,2517.882088484849
FDD48,OUT010,281.48208181818177
NCF18,OUT017,2919.037191489362
NCD43,OUT027,2517.882088484849
NCD54,OUT018,1752.2524400000007
FDY19,OUT010,281.48208181818177
NCY54,OUT017,2851.6316958762886
NCL19,OUT018,2232.8470218487396
FDP23,OUT010,584.7577647727273
FDC26,OUT013,1499.2484399999996
FDR14,OUT010,165.9185816513762
NCS41,OUT035,3328.207380952381
FDF41,OUT035,3719.064328378379
FDU34,OUT046,1952.3712349514567
DRH11,OUT046,842.2509434554972
FDM03,OUT013,1499.2484399999996
FDS31,OUT017,3328.207380952381
FDJ20,OUT017,2089.971043283581
FDV44,OUT027,5329.314724444444
FDG02,OUT049,2827.3566888888877
FDA09,OUT013,2851.6316958762886
FDT04,OUT013,507.04640366972484
FDL58,OUT019,584.7577647727273
FDE52,OUT045,1353.0650169014086
FDW12,OUT035,2490.526886705202
FDL51,OUT017,3881.917128455283
NCY42,OUT027,3242.062071532848
FDR07,OUT017,1559.342975268817
FDN40,OUT045,2490.526886705202
FDB35,OUT027,2517.882088484849
FDA22,OUT017,2611.4595423423425
NCL06,OUT046,4034.300306896551
FDI35,OUT013,3328.207380952381
NCW42,OUT045,3881.917128455283
NCX06,OUT049,2568.332833644861
FDC37,OUT027,2517.882088484849
FDZ14,OUT018,1752.2524400000007
DRG49,OUT049,3719.064328378379
NCG06,OUT045,4034.300306896551
DRC36,OUT045,2851.6316958762886
FDV21,OUT019,281.48208181818177
FDB53,OUT046,2660.9504030303033
DRP47,OUT019,584.7577647727273
FDA14,OUT013,2660.9504030303033
DRC24,OUT035,2660.9504030303033
FDW21,OUT018,1372.6884907407411
NCH29,OUT046,1559.342975268817
FDU58,OUT013,2911.411439639641
FDY27,OUT017,2851.6316958762886
FDV56,OUT035,1784.4287381818174
FDT59,OUT046,3627.5498912621365
FDB23,OUT046,3627.5498912621365
FDR49,OUT045,798.2176035398227
FDB03,OUT010,584.7577647727273
FDN39,OUT045,2453.747700699301
FDX02,OUT027,5329.314724444444
FDQ16,OUT027,2517.882088484849
FDU35,OUT018,1372.6884907407411
NCT29,OUT013,2089.971043283581
FDZ27,OUT046,798.2176035398227
FDN57,OUT017,2252.91396031746
FDA03,OUT018,2232.8470218487396
FDZ36,OUT045,3328.207380952381
NCU05,OUT013,1240.3673076086948
FDT39,OUT018,2232.8470218487396
FDK60,OUT017,1559.342975268817
FDZ25,OUT017,2894.220710714286
FDG12,OUT046,2293.9065129032265
DRB01,OUT019,482.6995426229507
NCC43,OUT027,6280.890879999997
FDX13,OUT019,584.7577647727273
FDM22,OUT049,842.2509434554972
