Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1847.1591026783028
FDW14,OUT017,1573.522769419416
NCN55,OUT010,1874.1341929814885
FDQ58,OUT017,2592.7965047315256
FDY38,OUT027,5178.499853020833
FDH56,OUT046,1925.1226078920768
FDL48,OUT018,594.2691412336652
FDC48,OUT027,2785.2791770873646
FDN33,OUT045,1508.0785266453768
FDA36,OUT017,3092.144323847544
FDT44,OUT017,1989.7206587852334
FDQ56,OUT045,1310.467467196941
NCC54,OUT019,1850.712677135548
FDU11,OUT049,2055.305168556013
DRL59,OUT013,893.139092850321
FDM24,OUT049,2556.536390964276
FDI57,OUT045,3082.36453204642
DRC12,OUT018,2760.5948192162673
NCM42,OUT027,3198.4743252220514
FDA46,OUT010,1126.1335404422966
FDA31,OUT013,2802.15282865767
NCJ31,OUT035,3867.7270203771145
FDG52,OUT046,800.7924743360704
NCL19,OUT019,368.8294022408369
FDS10,OUT035,3020.368006154014
FDX22,OUT010,1465.6678534004996
NCF19,OUT035,924.5436182301748
NCE06,OUT046,2537.0641589419824
DRC27,OUT046,3849.4709430486205
FDE21,OUT035,2029.3836285294278
NCR42,OUT019,-1358.5863686511982
FDX51,OUT018,2871.748278177139
NCR06,OUT018,431.5576419404424
FDU31,OUT027,4950.723226905198
FDU59,OUT017,2712.279419621387
FDR03,OUT027,4758.820604137347
FDS49,OUT027,2755.2019538674904
FDD48,OUT010,-67.14030425997998
NCF18,OUT017,3112.692033898776
NCD43,OUT027,3104.281430268172
NCD54,OUT018,1990.4235190980812
FDY19,OUT010,-37.44975693535696
NCY54,OUT017,2808.0423282800025
NCL19,OUT018,2020.722710364215
FDP23,OUT010,1537.6888522694221
FDC26,OUT013,1818.0843265874373
FDR14,OUT010,-1046.5409408670275
NCS41,OUT035,3029.425688051204
FDF41,OUT035,4043.976679368785
FDU34,OUT046,1995.6026900291495
DRH11,OUT046,930.0002505754351
FDM03,OUT013,1732.184692923939
FDS31,OUT017,3026.7246513824684
FDJ20,OUT017,2092.025404322427
FDV44,OUT027,4494.572287794817
FDG02,OUT049,3113.01013908462
FDA09,OUT013,2946.215428232268
FDT04,OUT013,671.6538801638934
FDL58,OUT019,2288.750938525724
FDE52,OUT045,1447.173898682357
FDW12,OUT035,2510.0865763068514
FDL51,OUT017,3549.495809732044
NCY42,OUT027,3694.9287251562437
FDR07,OUT017,1659.6281474221728
FDN40,OUT045,2363.840955287803
FDB35,OUT027,2957.229566101264
FDA22,OUT017,2739.2466438695487
NCL06,OUT046,4111.683772450104
FDI35,OUT013,2916.3600010998275
NCW42,OUT045,3409.295488221862
NCX06,OUT049,2941.8259168265195
FDC37,OUT027,3202.240847515559
FDZ14,OUT018,1736.0350065688442
DRG49,OUT049,3956.46347512817
NCG06,OUT045,3957.8086064286053
DRC36,OUT045,2723.58738654238
FDV21,OUT019,42.40861904011513
FDB53,OUT046,2348.1122471761255
DRP47,OUT019,2025.9504213055052
FDA14,OUT013,2346.4457898290475
DRC24,OUT035,2570.9629794298903
FDW21,OUT018,1411.9716623758725
NCH29,OUT046,1558.7446119967656
FDU58,OUT013,3081.709124444593
FDY27,OUT017,2939.8429708427875
FDV56,OUT035,1953.9711505292225
FDT59,OUT046,3660.139278211767
FDB23,OUT046,3623.0474838218415
FDR49,OUT045,689.8506159742394
FDB03,OUT010,1900.5587569878126
FDN39,OUT045,2627.6126934197823
FDX02,OUT027,4983.092768167999
FDQ16,OUT027,3193.287120827358
FDU35,OUT018,1329.0171106601379
NCT29,OUT013,1962.0400438252987
FDZ27,OUT046,825.070516593948
FDN57,OUT017,2347.023757127957
FDA03,OUT018,2091.810708105433
FDZ36,OUT045,2925.558004106798
NCU05,OUT013,1326.6386787148224
FDT39,OUT018,2195.8635811482445
FDK60,OUT017,1705.4529757004188
FDZ25,OUT017,2847.448207339236
FDG12,OUT046,2021.6836231137563
DRB01,OUT019,1109.9415059741004
NCC43,OUT027,5371.092166072744
FDX13,OUT019,2033.2194790651183
FDM22,OUT049,1029.870750726111
FDJ03,OUT027,2309.0911764896864
FDU14,OUT018,3684.894134477482
FDB33,OUT010,636.6842622049365
FDP27,OUT046,3010.8569278639966
FDO38,OUT010,-673.510198813945
FDE28,OUT027,5140.7895067090085
FDO27,OUT035,1698.0048100042166
DRL23,OUT027,3173.1896268779556
FDS28,OUT046,968.4827071322966
FDX24,OUT013,1547.8601681469195
FDZ02,OUT035,1756.065916332852
FDL46,OUT045,1809.0517027893488
FDS60,OUT027,4300.242142492432
NCO06,OUT017,631.3309402499377
FDO16,OUT035,1539.4309809677575
FDC60,OUT049,1546.150369982886
FDA48,OUT018,3193.118282442523
FDZ36,OUT027,4470.965712194475
FDK27,OUT045,1886.3331154581938
FDW23,OUT018,384.9851535053699
FDM14,OUT018,1510.6588894117842
FDM14,OUT013,1788.785873943812
FDW60,OUT018,2609.5123925581443
FDE21,OUT013,1914.3578732086653
NCM42,OUT035,1891.8589403394867
FDY59,OUT010,-378.7304896714222
DRI49,OUT049,1367.2216362679476
FDT28,OUT019,510.52469995575063
FDQ22,OUT018,406.46197834207976
FDR60,OUT049,1326.0307274173235
FDC50,OUT019,-408.32991032706394
FDV24,OUT013,2444.1031480218285
DRF48,OUT010,1090.7082701510817
FDQ47,OUT046,641.5655675846949
DRN36,OUT049,1656.9801674859416
NCY06,OUT035,2175.2646626238884
FDE52,OUT035,1650.4220502930336
NCB54,OUT045,1943.9963086214038
NCF31,OUT035,2555.1503214127615
FDJ08,OUT027,4447.914202801466
NCC07,OUT017,1793.1859487543213
NCD19,OUT027,2332.9854784996955
FDL46,OUT049,2022.1378495426407
FDM20,OUT045,3830.8040371625275
NCI06,OUT010,928.6422060122259
DRM11,OUT035,4223.784634923275
NCH07,OUT018,2210.2166569101773
FDS23,OUT013,2086.2247348997826
FDO49,OUT018,598.8752420652011
FDS35,OUT049,1159.8105126299365
DRK39,OUT045,1265.3933654360894
DRI39,OUT049,1035.4892322089445
FDV04,OUT017,2639.510898485826
NCN14,OUT035,3003.1381958525462
FDH08,OUT013,3702.7482969440043
FDS20,OUT046,2911.8497564857776
FDV40,OUT049,1342.0265230779316
FDZ48,OUT010,-148.71108181839304
FDS24,OUT027,2913.9463319762717
FDK44,OUT049,2849.2681356100024
FDS48,OUT045,2350.1485906307266
FDK26,OUT010,1110.65073477413
FDD23,OUT045,2973.3331750977586
NCH54,OUT017,2643.596137302558
NCP14,OUT010,-251.71774783397814
FDM60,OUT010,-1195.4076021688215
FDV24,OUT017,2508.7897452832085
FDH08,OUT018,3359.276832813148
FDS12,OUT027,3461.8322547729995
FDR39,OUT027,4313.642202304189
FDP12,OUT027,2124.7044360572245
DRF60,OUT027,5174.489913417843
FDC09,OUT035,1853.5862493030163
FDF50,OUT018,2860.0230798980724
FDG28,OUT035,4046.5424589108598
