Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1583.2723999999998
FDW14,OUT017,1262.9388238410597
NCN55,OUT010,542.9755395973153
FDQ58,OUT017,2384.015126168224
FDY38,OUT027,5669.163351428568
FDH56,OUT046,1874.4309598591558
FDL48,OUT018,754.5960957264958
FDC48,OUT027,2513.079854666666
FDN33,OUT045,1517.634856621005
FDA36,OUT017,3087.507511282049
FDT44,OUT017,1874.4309598591558
FDQ56,OUT045,1432.8474242914976
NCC54,OUT019,542.9755395973153
FDU11,OUT049,2109.088761951219
DRL59,OUT013,754.5960957264958
FDM24,OUT049,2384.015126168224
FDI57,OUT045,2880.9695613636377
DRC12,OUT018,2880.9695613636377
NCM42,OUT027,3175.335988157896
FDA46,OUT010,542.9755395973153
FDA31,OUT013,2736.9684298755187
NCJ31,OUT035,3573.328424242422
FDG52,OUT046,754.5960957264958
NCL19,OUT019,286.41777051282054
FDS10,OUT035,2880.9695613636377
FDX22,OUT010,542.9755395973153
NCF19,OUT035,754.5960957264958
NCE06,OUT046,2384.015126168224
DRC27,OUT046,4077.7580207920805
FDE21,OUT035,1874.4309598591558
NCR42,OUT019,130.33349056603777
FDX51,OUT018,3087.507511282049
NCR06,OUT018,637.5735090128758
FDU31,OUT027,5669.163351428568
FDU59,OUT017,2384.015126168224
FDR03,OUT027,5669.163351428568
FDS49,OUT027,2513.079854666666
FDD48,OUT010,286.41777051282054
NCF18,OUT017,2880.9695613636377
NCD43,OUT027,2513.079854666666
NCD54,OUT018,1951.1466188153313
FDY19,OUT010,286.41777051282054
NCY54,OUT017,2997.407679041916
NCL19,OUT018,2346.648786938777
FDP23,OUT010,542.9755395973153
FDC26,OUT013,1583.2723999999998
FDR14,OUT010,130.33349056603777
NCS41,OUT035,3389.2269793548367
FDF41,OUT035,3573.328424242422
FDU34,OUT046,2109.088761951219
DRH11,OUT046,876.3205797979806
FDM03,OUT013,1583.2723999999998
FDS31,OUT017,3389.2269793548367
FDJ20,OUT017,1951.1466188153313
FDV44,OUT027,5669.163351428568
FDG02,OUT049,3087.507511282049
