Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1872.765571934222
FDW14,OUT017,1610.6242240421182
NCN55,OUT010,1841.997223682816
FDQ58,OUT017,2582.520633071323
FDY38,OUT027,5072.110267059667
FDH56,OUT046,1936.6764138381473
FDL48,OUT018,665.6655428374734
FDC48,OUT027,2801.546912416494
FDN33,OUT045,1541.812102712521
FDA36,OUT017,3058.5515631519106
FDT44,OUT017,2002.74528547547
FDQ56,OUT045,1354.765281715996
NCC54,OUT019,1805.8750842219392
FDU11,OUT049,2060.2755038667674
DRL59,OUT013,956.9106569458484
FDM24,OUT049,2539.4161869100894
FDI57,OUT045,3049.268834256465
DRC12,OUT018,2721.9441465027603
NCM42,OUT027,3191.0395188409993
FDA46,OUT010,1124.1335364443519
FDA31,OUT013,2774.6875071829404
NCJ31,OUT035,3780.624511051509
FDG52,OUT046,866.3016418754638
NCL19,OUT019,407.02010022618765
FDS10,OUT035,2989.210840169801
FDX22,OUT010,1459.9066438034313
NCF19,OUT035,989.2770035511644
NCE06,OUT046,2512.831478795563
DRC27,OUT046,3760.408711659156
FDE21,OUT035,2045.2336816508405
NCR42,OUT019,-1241.271192020925
FDX51,OUT018,2837.368297748973
NCR06,OUT018,512.3696157975278
FDU31,OUT027,4863.198260204222
FDU59,OUT017,2689.019862983232
FDR03,OUT027,4681.8412937406165
FDS49,OUT027,2767.5256999198855
FDD48,OUT010,-0.3529151237822816
NCF18,OUT017,3070.737965210944
NCD43,OUT027,3102.3892188088066
NCD54,OUT018,1996.7123195387014
FDY19,OUT010,28.336301094559417
NCY54,OUT017,2770.9079541176875
NCL19,OUT018,2025.4658925845229
FDP23,OUT010,1526.2400158807566
FDC26,OUT013,1836.9050599048778
FDR14,OUT010,-953.2059901466813
NCS41,OUT035,2992.007183971425
FDF41,OUT035,3954.225360214448
FDU34,OUT046,2004.2072494166632
DRH11,OUT046,977.2415922367036
FDM03,OUT013,1755.9231447899792
FDS31,OUT017,2994.9225102496175
FDJ20,OUT017,2101.719134966426
FDV44,OUT027,4427.580473191113
FDG02,OUT049,3075.048787979732
FDA09,OUT013,2923.008289525259
FDT04,OUT013,748.40921371477
FDL58,OUT019,2229.839337824798
FDE52,OUT045,1492.654260531439
FDW12,OUT035,2501.3633173826915
FDL51,OUT017,3494.0729997135677
NCY42,OUT027,3664.8916993279972
FDR07,OUT017,1691.607537403655
FDN40,OUT045,2359.295675145625
FDB35,OUT027,2961.582688812944
FDA22,OUT017,2716.0773150248697
NCL06,OUT046,4015.779831166229
FDI35,OUT013,2890.772501775205
NCW42,OUT045,3356.9401424002162
NCX06,OUT049,2910.857390900964
FDC37,OUT027,3197.146668397876
FDZ14,OUT018,1753.343691960897
DRG49,OUT049,3863.8061402989283
NCG06,OUT045,3881.3272215946718
DRC36,OUT045,2697.763237963749
FDV21,OUT019,75.9257380520628
FDB53,OUT046,2333.3480853154756
DRP47,OUT019,1959.6534466666803
FDA14,OUT013,2346.5043376430062
DRC24,OUT035,2552.2696015911447
FDW21,OUT018,1447.8113089197323
NCH29,OUT046,1586.0377916028233
FDU58,OUT013,3048.1086088650204
FDY27,OUT017,2911.3645125315484
FDV56,OUT035,1975.3635361794254
FDT59,OUT046,3593.2810644685674
FDB23,OUT046,3560.4685125491574
FDR49,OUT045,761.3840746832265
FDB03,OUT010,1857.300362604464
FDN39,OUT045,2621.178048916319
FDX02,OUT027,4890.87047961976
FDQ16,OUT027,3187.8693220567247
FDU35,OUT018,1362.359674901887
NCT29,OUT013,1976.894293121195
FDZ27,OUT046,892.3176392753279
FDN57,OUT017,2347.5096665932633
FDA03,OUT018,2094.627988040993
FDZ36,OUT045,2896.4078387501327
NCU05,OUT013,1372.1335639040394
FDT39,OUT018,2194.11797356472
FDK60,OUT017,1733.2507884768531
FDZ25,OUT017,2826.190397680606
FDG12,OUT046,2032.8392276405552
DRB01,OUT019,1096.109041941929
NCC43,OUT027,5254.3995370906205
FDX13,OUT019,1990.0144880738067
FDM22,OUT049,1090.5666458577732
FDJ03,OUT027,2343.7492887176086
FDU14,OUT018,3614.897260484674
FDB33,OUT010,673.6519800224323
FDP27,OUT046,2965.0156980890333
FDO38,OUT010,-582.3622997471
FDE28,OUT027,5035.068241526284
FDO27,OUT035,1715.3970198304182
DRL23,OUT027,3161.3745924041596
FDS28,OUT046,1023.807176051112
FDX24,OUT013,1588.7639585251684
FDZ02,OUT035,1782.8421760900587
FDL46,OUT045,1836.892042251425
FDS60,OUT027,4242.728243128965
NCO06,OUT017,706.4833446627449
FDO16,OUT035,1577.7788751812343
FDC60,OUT049,1574.1493444081777
FDA48,OUT018,3135.5750877298437
FDZ36,OUT027,4408.478763133894
FDK27,OUT045,1912.3176977618286
FDW23,OUT018,463.04319506346224
FDM14,OUT018,1542.54863621471
FDM14,OUT013,1819.408909921128
FDW60,OUT018,2587.2134014579847
FDE21,OUT013,1937.942687842193
NCM42,OUT035,1909.4784552389397
FDY59,OUT010,-297.70846493187435
DRI49,OUT049,1389.728197752328
FDT28,OUT019,537.7110713187615
FDQ22,OUT018,490.32979045152
FDR60,OUT049,1364.664133497185
FDC50,OUT019,-348.1219494544402
FDV24,OUT013,2434.001248793938
DRF48,OUT010,1095.8776416368746
FDQ47,OUT046,704.9811544654929
